g.title,g.year,g.genre
Pokemon,1999,RPG
The_Legend_of_Zelda_Ocarina_of_Time,1998,Adventure
Super_Mario_64,1996,Platformer
The_Legend_of_Zelda_A_Link_to_the_Past,1992,Adventure
Super_Mario_World,1991,Platformer
Chrono_Trigger,1995,RPG
Final_Fantasy,1990,RPG
League_of_Legends,2009,RTS
Starcraft,1998,RTS
Angry_Birds,2009,Physics
Pac_Man,1980,Action
Plants_vs_Zombies,2009,Strategy
